Title: The Combined Ultraviolet, Optical, and Near-Infrared Light Curves of
	the Kilonova Associated with the Binary Neutron Star Merger GW170817:
	Unified Data Set, Analytic Models, and Physical Implications
Authors: Villar V.A., Guillochon J., Berger E., Metzger B.D., Cowperthwaite P.S., 
		Nicholl M., Alexander K.D., Blanchard P.K., Chornock R., Eftekhari T., 
		Fong W.-F., Margutti R., Williams P.K.G. 
Table: Photometric Data
================================================================================
Byte-by-byte Description of file: apjlaa9c84t3_mrt.txt
--------------------------------------------------------------------------------
Bytes Format Units Label       Explanations
--------------------------------------------------------------------------------
1-  9 F9.3   d       MJD         MJD of observation, JD-2,400,000.5
11- 16 F6.3   d       Phase       Phase of observation relative to 57982.529
18- 28 A11    ---     Instrument  Instrument name
30- 40 A11    ---     Telescope   Telescope name
42- 46 A5     ---     Band        Filter/Band name
48- 48 A1     ---   l_Mag         Upper limit flag
50- 54 A5     mag     Mag         New magnitude value used in modeling
56- 60 F5.2   mag   e_Mag         ?="" Reported error
62- 66 F5.2   mag     Delta       Difference between new and original value
68- 86 A19    ---     Ref         Reference, ADS bibcode (1)
88- 88 A1     ---     Used        Used in model (2)
90- 90 A1     ---     Average     Averaged point (2)
92- 92 A1     ---     Repeated    Repeated observation (2)
94- 94 A1     ---     Outlier     Outlier (2)
96- 96 A1     ---     Excluded    Excluded from model (2)
--------------------------------------------------------------------------------
Note (1): We request that any use of the data in this table includes appropriate 
	citation to the original papers, as well as to our compilation --
			this paper = this paper,    
	2017arXiv171005452C = Coulter et al. (2017);
	2017arXiv171005846A = Andreoni et al. (2017);
	2017Natur.551...64A = Arcavi et al. (2017);
	2017ApJ...848L..17C = Cowperthwaite et al. (2017);
	2017ApJ...848L..29D = Diaz et al. (2017);
	2017arXiv171005443D = Drout et al. (2017);
	2017arXiv171005437E = Evans et al. (2017);
	2017arXiv171005462H = Hu et al. (2017);
	2017arXiv171005436K = Kasliwal et al. (2017);
	2017ApJ...850L...1L = Lipunov et al. (2017);
	2017Natur.551...67P = Pian et al. (2017);
	2017arXiv171005448P = Pozanenko et al. (2017);
	2017Natur.551...75S = Smartt et al. (2017);
	2017ApJ...848L..27T = Tanvir et al. (2017);
	2017Natur.551...71T = Troja et al. (2017);
	2017arXiv171005848U = Utsumi et al. (2017);
	2017ApJ...848L..24V = Valenti et al. (2017);
Note (2): Explanation of flags. Photometry listed with an ``X'' is not 
	included in our model fit,  photometry listed with an ``O'' has been 
	visually flagged as an outlier, photometry reported in multiple sources 
	with unique reduction routines are listed with an ```R'', photometry 
	generated by averaging repeated photometry is listed with an ``A'', 
	and photometry used in modeling is listed with an ``*''. 
--------------------------------------------------------------------------------
57982.981  0.452 E2V4kx4kccd Swope       i       17.48  0.02  0.00 2017arXiv171005452C *         
57982.990  0.461 FourStar    Magellan    H       18.26  0.15  0.00 2017arXiv171005443D *         
57982.993  0.464 AltaU47+    Prompt5     r       17.46  0.03  0.00 2017ApJ...848L..24V *         
57982.999  0.470 VIRCAM      VISTA       Ks      18.62  0.05  0.00 2017ApJ...848L..27T *         
57983.000  0.471 FourStar    Magellan    J       17.83  0.15  0.00 2017arXiv171005443D *         
57983.000  0.471 LDSS        Magellan    V       17.35  0.02  0.00 2017arXiv171005443D *         
57983.000  0.471 LDSS        Magellan    r       17.33  0.02  0.00 2017arXiv171005443D *         
57983.000  0.471 LDSS        Magellan    z       17.67  0.03  0.00 2017arXiv171005443D *         
57983.001  0.472 MASTER      OAFA        W       17.50  0.20  0.00 2017ApJ...850L...1L *         
57983.003  0.474 DECam       Blanco/CTIO i       17.48  0.03  0.00 2017ApJ...848L..17C *         
57983.004  0.475 DECam       Blanco/CTIO z       17.59  0.03  0.00 2017ApJ...848L..17C *         
57983.006  0.477 LDSS        Magellan    g       17.41  0.02  0.00 2017arXiv171005443D *         
57983.009  0.480 VIRCAM      VISTA       J       17.88  0.03  0.00 2017ApJ...848L..27T *         
57983.011  0.482 LDSS        Magellan    g       17.41  0.04  0.00 2017arXiv171005443D *         
57983.011  0.482 Sinistro    LCO1m       w       17.49  0.04  0.00 2017Natur.551...64A         X 
57983.014  0.485 LDSS        Magellan    g       17.39  0.02  0.00 2017arXiv171005443D *         
57983.015  0.486 MASTER      OAFA        W       17.10  0.20  0.00 2017ApJ...850L...1L *         
57983.019  0.490 VIRCAM      VISTA       Y       17.46  0.01  0.00 2017ApJ...848L..27T *         
57983.028  0.499 AltaU47+    Prompt5     r       17.56  0.04  0.00 2017ApJ...848L..24V *         
57983.029  0.500 VIRCAM      VISTA       Ks      18.64  0.06  0.00 2017ApJ...848L..27T *         
57983.030  0.501 FourStar    Magellan    Ks      18.41  0.15  0.00 2017arXiv171005443D *         
57983.039  0.510 VIRCAM      VISTA       J       17.82  0.03  0.00 2017ApJ...848L..27T *         
57983.050  0.521 ROS2        REM         g       17.32  0.07  0.00 2017Natur.551...67P *         
57983.050  0.521 ROS2        REM         i       16.98  0.05  0.00 2017Natur.551...67P *         
57983.050  0.521 ROS2        REM         r       17.14  0.08  0.00 2017Natur.551...67P *         
57983.050  0.521 ROS2        REM         z       16.85  0.10  0.00 2017Natur.551...67P *     O   
57983.059  0.530 FLAMINGOS-2 Gemini-S    Ks      18.42  0.04  0.00 2017arXiv171005436K *         
57983.156  0.627 UVOT        Swift       M2      21.12  0.22  0.00 2017arXiv171005437E *         
57983.162  0.633 UVOT        Swift       W1      19.46  0.11  0.00 2017arXiv171005437E *         
57983.167  0.638 UVOT        Swift       U       18.19  0.09  0.00 2017arXiv171005437E *         
57983.172  0.643 UVOT        Swift       W2      21.13  0.23  0.00 2017arXiv171005437E *         
57983.229  0.700 HSC         Subaru      z       17.40  0.01  0.00 2017arXiv171005848U *         
57983.231  0.702 GFC         Pan-STARRS  i       17.24  0.06  0.00 2017Natur.551...75S *         
57983.231  0.702 GFC         Pan-STARRS  y       17.38  0.10  0.00 2017Natur.551...75S *         
57983.231  0.702 GFC         Pan-STARRS  z       17.26  0.06  0.00 2017Natur.551...75S *         
57983.382  0.853 Sinistro    LCO1m       w       17.31  0.04  0.00 2017Natur.551...64A         X 
57983.387  0.858 Skymapper   Skymapper   i       17.42  0.05  0.00 2017arXiv171005846A *         
57983.401  0.872 Sinistro    LCO1m       g       17.28  0.12 -0.04 2017Natur.551...64A *         
57983.405  0.876 Sinistro    LCO1m       r       17.20  0.02 -0.02 2017Natur.551...64A *         
57983.419  0.890 Skymapper   Skymapper   r       17.32  0.07  0.00 2017arXiv171005846A *         
57983.421  0.892 Skymapper   Skymapper   g       17.46  0.08  0.00 2017arXiv171005846A *         
57983.550  1.021 10k10kccd   AST3-2      i       17.14  0.13 -0.09 2017arXiv171005462H *         
57983.569  1.040 UVOT        Swift       W1      20.21  0.21  0.00 2017arXiv171005437E *         
57983.572  1.042 UVOT        Swift       U       19.00  0.16  0.00 2017arXiv171005437E *         
57983.575  1.046 UVOT        Swift       W2    > 21.45        0.00 2017arXiv171005437E *         
57983.594  1.065 10k10kccd   AST3-2      i       17.48  0.07 -0.13 2017arXiv171005462H *         
57983.594  1.065 UVOT        Swift       M2      22.52  0.50  0.00 2017arXiv171005437E *         
