MJD Phase Instrument Telescope Band l_Mag Mag e_Mag Delta Ref Used Average Repeated Outlier Excluded
57982.993 0.464 AltaU47+ Prompt5 r "" 17.46 0.03 0.0 2017ApJ...848L..24V * "" "" "" ""
57983.0 0.471 LDSS Magellan r "" 17.33 0.02 0.0 2017arXiv171005443D * "" "" "" ""
57983.028 0.499 AltaU47+ Prompt5 r "" 17.56 0.04 0.0 2017ApJ...848L..24V * "" "" "" ""
57983.05 0.521 ROS2 REM r "" 17.14 0.08 0.0 2017Natur.551...67P * "" "" "" ""
57983.405 0.876 Sinistro LCO1m r "" 17.20 0.02 -0.02 2017Natur.551...64A * "" "" "" ""
57983.419 0.89 Skymapper Skymapper r "" 17.32 0.07 0.0 2017arXiv171005846A * "" "" "" ""
57983.741 1.212 Sinistro LCO1m r "" 17.75 0.02 -0.03 2017Natur.551...64A * "" "" "" ""
57983.758 1.229 - 1.5B r "" 17.89 0.03 0.0 2017Natur.551...75S * "" "" "" ""
57983.969 1.44 GROND LaSilla r "" 17.99 0.01 0.0 2017Natur.551...75S * "" "" "" ""
57983.969 1.44 FORS VLT r "" 17.69 0.02 0.0 2017ApJ...848L..27T * "" "" "" ""
57983.976 1.447 Sinistro LCO1m r "" 17.98 0.08 -0.04 2017Natur.551...64A * "" "" "" ""
57983.977 1.448 T80Cam T80S r "" 17.93 0.02 0.0 2017ApJ...848L..29D * "" "" "" ""
57983.978 1.449 T80Cam T80S r "" 17.97 0.02 0.0 2017ApJ...848L..29D * "" "" "" ""
57983.978 1.449 DECam Blanco/CTIO r "" 18.04 0.02 0.0 2017ApJ...848L..17C * "" "" "" ""
57983.979 1.45 T80Cam T80S r "" 17.94 0.02 0.0 2017ApJ...848L..29D * "" "" "" ""
57983.98 1.451 ROS2 REM r "" 17.68 0.13 0.0 2017Natur.551...67P * "" "" "" ""
57983.981 1.452 LDSS Magellan r "" 17.91 0.03 0.0 2017arXiv171005443D * "" "" "" ""
