 # t (day)    Lbol (erg/s)
  1.06        6.492E+40
  1.19        6.437E+40
  1.33        6.324E+40
  1.50        6.242E+40
  1.68        6.136E+40
  1.88        5.965E+40
  2.11        5.808E+40
  2.37        5.583E+40
  2.66        5.369E+40
  2.99        5.171E+40
  3.35        4.881E+40
  3.76        4.461E+40
  4.22        3.965E+40
  4.73        3.452E+40
  5.31        3.057E+40
  5.96        2.708E+40
  6.68        2.371E+40
  7.50        2.021E+40
  8.41        1.648E+40
  9.44        1.368E+40
 10.59        1.143E+40
 11.89        9.660E+39
 13.34        8.311E+39
 14.96        7.103E+39
 16.79        6.110E+39
 18.84        5.264E+39
 21.13        4.645E+39
 23.71        4.073E+39
 26.61        3.563E+39
 29.85        3.140E+39

