 #redshift day     u       g       r       i       z       J       H       K
  0.01    1.06   24.93   22.62   21.36   20.14   19.06   20.14   22.75   24.50
  0.01    1.19   25.49   22.93   21.62   20.22   19.07   19.99   22.41   24.53
  0.01    1.33   25.96   23.20   21.79   20.30   19.08   19.84   22.01   24.28
  0.01    1.50   26.38   23.51   21.96   20.40   19.11   19.76   21.64   23.87
  0.01    1.68   27.03   23.82   22.14   20.49   19.15   19.64   21.24   23.46
  0.01    1.88   27.47   24.18   22.31   20.62   19.21   19.53   20.85   23.06
  0.01    2.11   28.36   24.61   22.59   20.77   19.29   19.43   20.53   22.58
  0.01    2.37   29.31   25.09   22.85   20.92   19.40   19.35   20.36   22.16
  0.01    2.66   30.08   25.87   23.21   21.10   19.53   19.37   20.32   21.82
  0.01    2.99   31.06   26.71   23.63   21.34   19.67   19.47   20.38   21.37
  0.01    3.35   33.92   27.91   24.25   21.68   19.87   19.65   20.50   20.89
  0.01    3.76   32.70   29.07   25.07   22.19   20.16   19.86   20.59   20.38
  0.01    4.22    +Inf   30.41   25.89   22.77   20.57   20.08   20.55   19.99
  0.01    4.73    +Inf   30.85   26.77   23.40   21.12   20.34   20.48   19.78
  0.01    5.31   42.76   31.83   27.59   24.07   21.80   20.73   20.54   19.74
  0.01    5.96    +Inf   36.22   28.81   24.72   22.51   21.23   20.69   19.71
  0.01    6.68    +Inf   41.90   29.54   25.47   23.28   21.78   20.94   19.74
  0.01    7.50    +Inf    +Inf   30.41   26.36   24.11   22.32   21.28   19.83
  0.01    8.41    +Inf    +Inf   30.28   27.22   25.12   22.88   21.67   19.92
  0.01    9.44    +Inf   40.41   30.64   27.73   26.10   23.34   22.06   20.05
  0.01   10.59    +Inf    +Inf   30.43   28.06   26.71   23.59   22.40   20.20
  0.01   11.89    +Inf    +Inf   30.45   28.04   26.94   23.80   22.67   20.36
  0.01   13.34    +Inf    +Inf   30.43   27.95   27.25   23.93   22.93   20.46
  0.01   14.96    +Inf    +Inf   30.97   28.15   27.40   24.10   23.19   20.61
  0.01   16.79    +Inf   34.67   31.00   28.32   27.62   24.31   23.45   20.78
  0.01   18.84    +Inf    +Inf   30.40   28.20   27.60   24.47   23.71   20.93
  0.01   21.13    +Inf    +Inf   31.05   28.26   27.55   24.56   23.96   21.03
  0.01   23.71    +Inf   37.67   31.18   28.47   27.79   24.75   24.18   21.16
  0.01   26.61    +Inf   37.89   30.39   28.23   27.68   24.89   24.47   21.31
  0.01   29.85    +Inf   34.39   31.33   28.33   27.85   25.08   24.67   21.44


  0.02    1.06   26.56   24.19   22.91   21.74   20.60   21.54   24.22   25.93
  0.02    1.19   27.12   24.50   23.17   21.83   20.61   21.39   23.87   25.95
  0.02    1.33   27.62   24.78   23.34   21.92   20.62   21.26   23.47   25.66
  0.02    1.50   27.99   25.10   23.51   22.02   20.66   21.18   23.09   25.27
  0.02    1.68   28.68   25.41   23.71   22.11   20.70   21.08   22.70   24.86
  0.02    1.88   29.11   25.77   23.88   22.24   20.76   20.98   22.30   24.45
  0.02    2.11   30.01   26.22   24.17   22.39   20.85   20.89   22.00   24.00
  0.02    2.37   31.08   26.70   24.44   22.55   20.96   20.82   21.84   23.60
  0.02    2.66   31.78   27.49   24.81   22.73   21.10   20.85   21.79   23.27
  0.02    2.99   32.87   28.32   25.25   22.98   21.23   20.96   21.86   22.84
  0.02    3.35   35.83   29.56   25.91   23.33   21.43   21.14   21.98   22.36
  0.02    3.76   34.27   30.68   26.76   23.85   21.73   21.35   22.08   21.87
  0.02    4.22    +Inf   32.08   27.58   24.44   22.16   21.58   22.06   21.50
  0.02    4.73    +Inf   32.53   28.47   25.06   22.71   21.85   21.99   21.30
  0.02    5.31   45.21   33.32   29.32   25.75   23.40   22.26   22.06   21.25
  0.02    5.96    +Inf   38.43   30.47   26.38   24.10   22.77   22.21   21.23
  0.02    6.68    +Inf   44.33   31.23   27.17   24.86   23.32   22.47   21.26
  0.02    7.50    +Inf    +Inf   32.17   28.07   25.70   23.86   22.81   21.36
  0.02    8.41    +Inf    +Inf   32.02   28.88   26.73   24.43   23.21   21.46
  0.02    9.44    +Inf   43.42   32.41   29.30   27.72   24.89   23.61   21.58
  0.02   10.59    +Inf    +Inf   32.14   29.63   28.30   25.14   23.96   21.74
