filter delmjd absmag
i 0.014267276630545833 -14.279387300235763
i 0.019782143587346868 -14.438946468372226
i 0.025297010544147902 -14.572225302933273
i 0.033569310979349565 -14.753684749049253
i 0.04184161141455145 -14.92075258392155
i 0.05562877880655415 -15.098735795437605
i 0.0749308131553581 -15.269592726023818
i 0.09974771446096309 -15.423416107070409
i 0.13283691620176974 -15.560777034261651
i 0.18247071881297972 -15.700630015347903
i 0.24534020212051244 -15.808652425433872
i 0.3037977918626047 -15.874125724016785
i 0.36446132838741674 -15.921908148699362
i 0.42512486491222923 -15.949781229764199
i 0.48 -15.974405850091406
r 0.0059949761953441705 -13.681822572509006
r 0.014267276630545833 -13.98216924194235
r 0.019782143587346868 -14.147985632358676
r 0.025297010544147902 -14.291901744795485
r 0.033569310979349565 -14.468668274201569
r 0.04184161141455145 -14.632920359047928
r 0.05562877880655415 -14.797693879084276
r 0.0749308131553581 -14.953603000890821
r 0.10250514793936372 -15.104297770797482
r 0.14662408359377244 -15.243625253562394
r 0.2045301866401843 -15.358189305122764
r 0.2651937231649968 -15.425312235034003
r 0.32585725968980883 -15.455460669655153
r 0.3865207962146213 -15.471956982938424
r 0.4519113615595489 -15.469153422306539
r 0.48 -15.471663619744056
J 0.05562877880655415 -15.20232758651531
J 0.0749308131553581 -15.363451060221738
J 0.09974771446096309 -15.528954589524071
J 0.12732204924496893 -15.674122146416853
J 0.16041125098577558 -15.810172036558981
J 0.2045301866401843 -15.943460803218885
J 0.25967885620819553 -16.07378799858327
J 0.320342392733008 -16.175041231839206
J 0.38100592925782006 -16.250127899197544
J 0.44166946578263255 -16.307011738105373
J 0.48 -16.376599634369285
