band	head	lamda_eff	A_lamda/A_GRP	err_A_lamda/A_GRP	A_lamda/A_V	err_A_lamda/A_V	A_lamda/E(GBP-GRP)	err_A_lamda/E(GBP-GRP)
GBP	GAIA	0.5387	1.700	0.007	1.002	0.007	2.429	0.015
GRP	GAIA	0.7667	1.000	0.000	0.589	0.004	1.429	0.015
G	GAIA	0.6419	1.323	0.003	0.789	0.005	1.890	0.015
B	Johnson	0.4525	2.206	0.023	1.317	0.016	3.151	0.027
V	Johnson	0.5525	1.675	0.010	1.000	0.000	2.394	0.018
u	SDSS	0.3602	2.653	0.024	1.584	0.017	3.791	0.028
g	SDSS	0.4784	2.018	0.012	1.205	0.010	2.883	0.019
r	SDSS	0.6166	1.421	0.006	0.848	0.006	2.030	0.016
i	SDSS	0.7483	1.056	0.002	0.630	0.004	1.509	0.015
z	SDSS	0.8915	0.767	0.004	0.458	0.003	1.096	0.012
g	Pan-STARRS	0.4957	1.934	0.010	1.155	0.009	2.764	0.018
r	Pan-STARRS	0.6211	1.413	0.005	0.843	0.006	2.019	0.015
i	Pan-STARRS	0.7522	1.052	0.001	0.628	0.004	1.503	0.015
z	Pan-STARRS	0.8671	0.815	0.002	0.487	0.003	1.165	0.012
y	Pan-STARRS	0.9707	0.662	0.004	0.395	0.003	0.947	0.011
J	2MASS	1.2345	0.407	0.007	0.243	0.004	0.582	0.011
H	2MASS	1.6393	0.219	0.010	0.131	0.006	0.313	0.014
K	2MASS	2.1757	0.125	0.010	0.078	0.004	0.186	0.009
W1	WISE	3.3172	0.055	0.011	0.039	0.004	0.094	0.009
W2	WISE	4.5501	0.029	0.011	0.026	0.004	0.063	0.009
W3	WISE	11.7281	0.066	0.016	0.040	0.009	0.095	0.021
3.6	Spitzer	""	""	""	0.037	0.003	0.089	0.007
4.5	Spitzer	""	""	""	0.026	0.003	0.063	0.007
5.8	Spitzer	""	""	""	0.019	0.003	0.044	0.007
8.0	Spitzer	""	""	""	0.025	0.003	0.060	0.007
