#obj		ra		dec		dist	 ebv	 muvmag    maxaxis     minaxis    priority  note	      
NGC0289		00:52:42.348	-31:12:20.92	24.0	 0.02	 -18.77    5.1     3.6    1		new+    
NGC0337		00:59:50.100	-07:34:40.70	25.0	 0.11	 -18.77    2.6     1.5    1		none  
NGC0488		01:21:46.836	+05:15:24.48	38.0	 0.02	 -18.88    5.2     3.9    1		new+	     
NGC0895		02:21:36.499	-05:31:17.00	31.0	 0.03	 -18.67    2.6     1.7    1		none	      
NGC1097		02:46:19.099	-30:16:29.71	15.0	 0.03	 -18.75    6.0     3.3    1		none	     
NGC1309		03:22:06.600	-15:24:00.07	29.0	 0.03	 -19.04    2.2     2.0    1		new+	     
NGC1365		03:33:36.401	-36:08:25.51	20.0	 0.02	 -19.68    5.4     4.1    1		none	     
UGC02855	03:48:20.736	+70:07:58.30	14.0	 0.42	 -18.75    4.4     2.0    1		new+	     
NGC1672		04:45:42.502	-59:14:50.21	15.0	 0.02	 -18.90    4.7     3.0    1		none	     
NGC2207		06:16:22.001	-21:22:21.61	37.0	 0.09	 -20.18    3.2     2.2    1		none	     
NGC2336		07:27:04.068	+80:10:41.02	29.0	 0.02	 -18.83    7.1     3.9    1		new+	     
NGC2442		07:36:23.808	-69:31:50.99	14.0	 0.20	 -18.49    6.2     5.4    1		none	     
NGC2775		09:10:20.100	+07:02:17.23	43.0	 0.02	 -18.69    4.3     3.3    1		new+	     
NGC2776		09:12:14.508	+44:57:17.53	41.0	 0.01	 -19.34    2.3     1.5    1		new+	     
NGC2782		09:14:05.112	+40:06:49.21	39.0	 0.02	 -18.71    1.7     1.4    1		none	     
NGC2993		09:45:48.288	-14:22:05.92	32.0	 0.06	 -18.78    0.9     0.9    1		none	     
IC2537		10:03:51.888	-27:34:15.10	38.0	 0.10	 -18.60    2.3     1.5    1		none	     
NGC3147		10:16:53.712	+73:24:02.70	44.0	 0.02	 -19.60    2.9     2.4    1		none	     
NGC3169		10:14:14.892	+03:27:58.86	45.0	 0.03	 -19.25    4.4     2.8    1		new+	     
NGC3183		10:21:49.008	+74:10:36.70	48.0	 0.04	 -18.62    2.3     0.8    1		none	     
NGC3244		10:25:28.800	-39:49:39.22	37.0	 0.10	 -18.61    1.9     1.4    1		none	     
NGC3294		10:36:16.236	+37:19:28.63	30.0	 0.02	 -18.43    2.3     1.4    1		new+	     
NGC3344		10:43:31.116	+24:55:19.74	20.0	 0.03	 -19.42    7.1     6.5    1		new+	     
NGC3367		10:46:34.992	+13:45:02.81	44.0	 0.03	 -19.84    2.9     1.7    1		none	     
NGC3359		10:46:36.792	+63:13:25.10	18.0	 0.01	 -18.61    4.7     2.0    1		none	     
NGC3445		10:54:35.496	+56:59:26.59	32.0	 0.01	 -18.57    1.5     1.2    1		none	     
NGC3629		11:20:31.776	+26:57:47.84	38.0	 0.02	 -18.55    2.3     1.6    1		new+	     
NGC3646		11:21:43.092	+20:10:11.10	44.0	 0.02	 -19.47    3.9     2.2    1		new+	     
NGC3938		11:52:49.368	+44:07:14.88	19.0	 0.01	 -18.87    5.4     4.9    1		new+	     
NGC4030		12:00:23.592	-01:06:00.00	21.0	 0.03	 -18.66    2.7     2.4    1		none	     
NGC4038		12:01:52.992	-18:52:09.91	22.0	 0.05	 -19.24    8.0     8.0    1		+N,4039      
NGC4108		12:06:44.592	+67:09:47.48	40.0	 0.02	 -18.50    1.1     1.0    1		none	     
M99		12:18:49.608	+14:24:59.40	17.0	 0.04	 -19.21    4.5     4.3    1		NGC4254      
NGC4303		12:21:54.888	+04:28:25.10	17.0	 0.02	 -19.40    4.7     3.5    1		M61	     
NGC4314		12:22:31.980	+29:53:43.48	44.0	 0.02	 -18.46    4.2     3.7    1		new+	     
NGC4321		12:22:54.888	+15:49:20.60	18.0	 0.03	 -19.21    7.3     5.7    1		M100	     
NGC4500		12:31:22.152	+57:57:52.81	48.0	 0.01	 -18.47    1.6     1.0    1		new+	     
NGC4653		12:43:50.916	-00:33:40.54	39.0	 0.02	 -18.66    1.8     1.4    1		new+	     
NGC4814		12:55:21.936	+58:20:38.80	40.0	 0.01	 -18.53    3.1     2.3    1		new+	 
NGC4993		13:09:47.710	-23:23:01.80	99.0	 0.99	 -99.99	   9.9	   9.9	  1		GW	
M51a		13:29:52.704	+47:11:42.61	8.40	 0.04	 -19.26    12.0    6.5    1		NGC5194+5    
M83		13:37:00.912	-29:51:56.70	4.50	 0.07	 -18.76    12.2    9.4    1		NGC5236      
NGC5371		13:55:39.936	+40:27:42.00	29.4	 0.01	 -18.98    4.4     3.5    1		add	     
M101		14:03:12.600	+54:20:56.69	7.50	 0.01	 -19.57    13.9    13.8   1		NGC5457      
NGC5430		14:00:45.720	+59:19:42.24	47.0	 0.01	 -18.70    2.7     1.1    1		new+	     
NGC5584		14:22:23.772	-00:23:15.32	25.0	 0.04	 -18.43    2.5     1.7    1		new+	     
NGC5668		14:33:24.300	+04:27:01.19	25.0	 0.03	 -18.72    3.3     3.0    1		new+	     
NGC5850		15:07:07.644	+01:32:40.74	38.0	 0.03	 -18.65    4.3     3.7    1		new+	     
NGC5962		15:36:31.704	+16:36:28.30	30.0	 0.05	 -18.80    1.8     1.2    1		none	      
NGC6070		16:09:58.680	+00:42:34.31	27.0	 0.13	 -18.58    3.5     1.9    1		new+	     
NGC6555		18:07:49.188	+17:36:17.53	35.0	 0.09	 -18.54    2.0     1.5    1		new+	     
ESO182-G010	18:18:30.600	-54:41:39.41	49.0	 0.10	 -19.00    1.9     1.4    1		new+	      
NGC6744		19:09:45.900	-63:51:27.72	9.30	 0.04	 -19.05    20.0    12.9   1		new+	     
NGC6814		19:42:40.608	-10:19:25.32	23.0	 0.16	 -18.61    3.0     2.8    1		new+	     
NGC6946		20:34:52.300	+60:09:14.00	5.96	 9.99	 -19.13    11.9    8.3    1		low-b	     
NGC6951		20:37:14.088	+66:06:20.30	24.0	 0.37	 -18.47    3.0     1.9    1		none	     
NGC7083		21:35:44.592	-63:54:09.79	34.0	 0.04	 -18.98    3.9     2.3    1		new+	     
