filter delmjd mag magerr
r 0.0 19.4 0.0
r 0.5 17.33 0.02
r 1.48 17.91 0.03
r 1.55 17.98 0.02
r 2.51 18.93 0.02
r 3.51 19.82 0.09
r 4.5 20.58 0.12
i 0.0 18.3 0.0
i 0.48 17.48 0.02
i 1.48 17.77 0.03
i 1.54 17.8 0.02
i 2.5 18.36 0.02
i 3.5 18.92 0.05
i 4.49 19.39 0.04
i 5.5 20.27 0.12
i 7.49 21.42 0.18
I 6.73 20.83 0.09
Y 1.48 17.61 0.06
Y 1.48 17.61 0.06
Y 4.47 18.08 0.02
Y 5.5 18.33 0.1
J 0.0 18.1 0.0
J 0.5 17.83 0.15
J 1.48 17.47 0.01
J 2.46 17.55 0.01
J 3.47 17.85 0.01
J 4.5 18.1 0.02
J 7.49 18.99 0.04
J 8.5 19.3 0.1
H 0.49 18.26 0.15
H 1.49 17.52 0.01
H 2.47 17.57 0.01
H 4.48 17.83 0.02
H 5.5 17.84 0.2
H 9.47 19.21 0.05
H 10.48 19.34 0.09
H 11.5 19.64 0.14
K 0.0 20.0 0.0
K 0.53 18.41 0.15
K 1.48 17.61 0.04
K 2.46 17.55 0.06
K 12.46 19.36 0.09
K 12.48 19.32 0.09
K 13.48 19.52 0.09
K 13.49 19.43 0.09
K 15.47 20.23 0.1
K 18.46 20.81 0.13
K 18.49 20.93 0.17
