filter	delmjd	mag	magerr	mag_abs	mager_abs	mag_gw190425	mager_gw190425
r	0.0	19.4	0.0	-13.481706751028966	0.5011090175806752	22.48391624074334	0.9065416370720802
r	0.5	17.33	0.02	-15.551706751028966	0.5015079735165429	20.41391624074334	0.906762228892077
r	1.48	17.91	0.03	-14.971706751028965	0.5020062225716624	20.993916240743342	0.9070378932246036
r	1.55	17.98	0.02	-14.901706751028964	0.5015079735165429	21.063916240743342	0.906762228892077
r	2.51	18.93	0.02	-13.951706751028965	0.5015079735165429	22.01391624074334	0.906762228892077
r	3.51	19.82	0.09	-13.061706751028964	0.5091269463509758	22.903916240743342	0.9109982106158756
r	4.5	20.58	0.12	-12.301706751028966	0.5152768648995115	23.66391624074334	0.9144494189102683
i	0.0	18.3	0.0	-14.581706751028964	0.5011090175806752	21.383916240743343	0.9065416370720802
i	0.48	17.48	0.02	-15.401706751028964	0.5015079735165429	20.563916240743342	0.906762228892077
i	1.48	17.77	0.03	-15.111706751028965	0.5020062225716624	20.85391624074334	0.9070378932246036
i	1.54	17.8	0.02	-15.081706751028964	0.5015079735165429	20.883916240743343	0.906762228892077
i	2.5	18.36	0.02	-14.521706751028965	0.5015079735165429	21.44391624074334	0.906762228892077
i	3.5	18.92	0.05	-13.961706751028963	0.5035973068838527	22.003916240743344	0.9079194566399198
i	4.49	19.39	0.04	-13.491706751028964	0.5027029416073368	22.473916240743343	0.907423682601092
i	5.5	20.27	0.12	-12.611706751028965	0.5152768648995115	23.35391624074334	0.9144494189102683
i	7.49	21.42	0.18	-11.461706751028963	0.5324568034128866	24.503916240743344	0.9242390057476081
I	6.73	20.83	0.09	-12.051706751028966	0.5091269463509758	23.91391624074334	0.9109982106158756
Y	1.48	17.61	0.06	-15.271706751028965	0.5046882676471381	20.69391624074334	0.9085250352881462
Y	1.48	17.61	0.06	-15.271706751028965	0.5046882676471381	20.69391624074334	0.9085250352881462
Y	4.47	18.08	0.02	-14.801706751028966	0.5015079735165429	21.16391624074334	0.906762228892077
Y	5.5	18.33	0.1	-14.551706751028966	0.5109894788551613	21.41391624074334	0.9120404265959526
J	0.0	18.1	0.0	-14.781706751028963	0.5011090175806752	21.183916240743343	0.9065416370720802
J	0.5	17.83	0.15	-15.051706751028966	0.5230776687076877	20.91391624074334	0.9188676399489359
J	1.48	17.47	0.01	-15.411706751028966	0.5012087863362626	20.55391624074334	0.9065967900590246
J	2.46	17.55	0.01	-15.331706751028964	0.5012087863362626	20.633916240743343	0.9065967900590246
J	3.47	17.85	0.01	-15.031706751028963	0.5012087863362626	20.933916240743343	0.9065967900590246
J	4.5	18.1	0.02	-14.781706751028963	0.5015079735165429	21.183916240743343	0.906762228892077
J	7.49	18.99	0.04	-13.891706751028966	0.5027029416073368	22.07391624074334	0.907423682601092
J	8.5	19.3	0.1	-13.581706751028964	0.5109894788551613	22.383916240743343	0.9120404265959526
H	0.49	18.26	0.15	-14.621706751028963	0.5230776687076877	21.343916240743344	0.9188676399489359
H	1.49	17.52	0.01	-15.361706751028965	0.5012087863362626	20.60391624074334	0.9065967900590246
H	2.47	17.57	0.01	-15.311706751028964	0.5012087863362626	20.653916240743342	0.9065967900590246
H	4.48	17.83	0.02	-15.051706751028966	0.5015079735165429	20.91391624074334	0.906762228892077
H	5.5	17.84	0.2	-15.041706751028965	0.5395463348968922	20.923916240743342	0.928341391808707
H	9.47	19.21	0.05	-13.671706751028964	0.5035973068838527	22.293916240743343	0.9079194566399198
H	10.48	19.34	0.09	-13.541706751028965	0.5091269463509758	22.423916240743342	0.9109982106158756
H	11.5	19.64	0.14	-13.241706751028964	0.5202982293845227	22.723916240743343	0.9172882533562322
K	0.0	20.0	0.0	-12.881706751028965	0.5011090175806752	23.083916240743342	0.9065416370720802
K	0.53	18.41	0.15	-14.471706751028965	0.5230776687076877	21.493916240743342	0.9188676399489359
K	1.48	17.61	0.04	-15.271706751028965	0.5027029416073368	20.69391624074334	0.907423682601092
K	2.46	17.55	0.06	-15.331706751028964	0.5046882676471381	20.633916240743343	0.9085250352881462
K	12.46	19.36	0.09	-13.521706751028965	0.5091269463509758	22.44391624074334	0.9109982106158756
K	12.48	19.32	0.09	-13.561706751028964	0.5091269463509758	22.403916240743342	0.9109982106158756
K	13.48	19.52	0.09	-13.361706751028965	0.5091269463509758	22.60391624074334	0.9109982106158756
K	13.49	19.43	0.09	-13.451706751028965	0.5091269463509758	22.51391624074334	0.9109982106158756
K	15.47	20.23	0.1	-12.651706751028964	0.5109894788551613	23.313916240743342	0.9120404265959526
K	18.46	20.81	0.13	-12.071706751028966	0.5176970615144241	23.89391624074334	0.9158153415101361
K	18.49	20.93	0.17	-11.951706751028965	0.5291599451023002	24.01391624074334	0.9223436126223932
